paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
All-purpose hashing,Modern hashing made simple,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,0.9584
Network requirements for distributed machine learning training in the cloud,AIKIDO: toward straggler mitigation for distributed machine learning training in cloud data centers,James Salamy,Ayush Sharma,0.9584
Barriernet: Differentiable control barrier functions for learning of safe robot control,ABNet: Attention BarrierNet for Safe and Scalable Robot Learning,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Makram Chahine and Alexander Amini and Xiao Li and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Daniela Rus,0.9579
Reverse-mode automatic differentiation and optimization of GPU kernels via Enzyme,Scalable automatic differentiation of multiple parallel paradigms through compiler augmentation,William S Moses and Valentin Churavy and Ludger Paehler and Jan Hückelheim and Sri Hari Krishna Narayanan and Michel Schanen and Johannes Doerfert,William S Moses and Sri Hari Krishna Narayanan and Ludger Paehler and Valentin Churavy and Michel Schanen and Jan Hückelheim and Johannes Doerfert and Paul Hovland,0.9576
"Ai-enabling workloads on large-scale gpu-accelerated system: characterization, opportunities, and implications","John Holodnak, et al. Ai-enabling workloads on large-scale gpu-accelerated system: Characterization, opportunities, and implications",Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron and John Holodnak and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Peter Michaleas and Joseph McDonald and Lauren Milechin and Julie Mullen and Andrew Prout and Benjamin Price and Albert Reuther and Antonio Rosa and Matthew Weiss and Charles Yee and Daniel Edelman and Allan Vanterpool and Anson Cheng and Vijay Gadepally and Devesh Tiwari,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron,0.9572
Differentiable control barrier functions for vision-based end-to-end autonomous driving,Learning stability attention in vision-based end-to-end driving policies,Wei Xiao and Tsun-Hsuan Wang and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,Tsun-Hsuan Wang and Wei Xiao and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,0.9571
Graphblas on the edge: Anonymized high performance streaming of network traffic,Hypersparse traffic matrix construction using GraphBLAS on a DPU,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,William Bergeron and Michael Jones and Chase Barber and Kale DeYoung and George Amariucai and Kaleb Ernst and Nathan Fleming and Peter Michaleas and Sandeep Pisharody and Nathan Wells and Antonio Rosa and Eugene Vasserman and Jeremy Kepner,0.957
Social interactions as recursive mdps,Zero-shot linear combinations of grounded social interactions with Linear Social MDPs,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Boris Katz and Andrei Barbu,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Bennett Stankovits and Dan Gutfreund and Joshua B Tenenbaum and Boris Katz and Andrei Barbu,0.9568
Incorporating rich social interactions into mdps,Zero-shot linear combinations of grounded social interactions with Linear Social MDPs,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Bennett Stankovits and Dan Gutfreund and Joshua B Tenenbaum and Boris Katz and Andrei Barbu,Ravi Tejwani and Yen-Ling Kuo and Tianmin Shu and Bennett Stankovits and Dan Gutfreund and Joshua B Tenenbaum and Boris Katz and Andrei Barbu,0.9567
Towards Cooperative Flight Control Using Visual-Attention,Cooperative flight control using visual-attention–air-guardian,Lianhao Yin and Makram Chahine and Tsun-Hsuan Wang and Tim Seyde and Chao Liu and Mathias Lechner and Ramin Hasani and Daniela Rus,Lianhao Yin and Tsun-Hsuan Wang and Makram Chahine and Tim Seyde and Mathias Lechner and Ramin Hasani and Daniela Rus,0.9566
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",What is Normal? A Big Data Observational Science Model of Anonymized Internet Traffic,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Jeremy Kepner and Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Peter Michaleas,0.9565
Iceberg hashing: Optimizing many hash-table criteria at once,IcebergHT: High performance PMEM hash tables through stability and low associativity,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9564
Online List Labeling: Breaking the  Barrier,Nearly Optimal List Labeling,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and William Kuszmaul and Nicole Wein,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9564
Meta-learning and self-supervised pretraining for real world image translation,Meta-learning and self-supervised pretraining for storm event imagery translation,Ileana Rugina and Rumen Dangovski and Mark Veillette and Pooya Khorrami and Brian Cheung and Olga Simek and Marin Soljačić,Ileana Rugina and Rumen Dangovski and Mark Veillette and Pooya Khorrami and Brian Cheung and Olga Simek and Marin Soljačić,0.9564
Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Nikhil Reddy,Tim Kralj,0.9563
From words to watts: Benchmarking the energy costs of large language model inference,"Great power, great responsibility: Recommendations for reducing energy for training language models",Siddharth Samsi and Dan Zhao and Joseph McDonald and Baolin Li and Adam Michaleas and Michael Jones and William Bergeron and Jeremy Kepner and Devesh Tiwari and Vijay Gadepally,Joseph McDonald and Baolin Li and Nathan Frey and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,0.956
Graphblas on the edge: Anonymized high performance streaming of network traffic,Focusing and calibration of large scale network sensors using graphblas anonymized hypersparse matrices,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,Jeremy Kepner and Michael Jones and Phil Dykstra and Chansup Byun and Timothy Davis and Hayden Jananthan and William Arcand and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Charles Yee and Peter Michaleas,0.956
Achieving optimal backlog in the vanilla multi-processor cup game,How asymmetry helps buffer management: achieving optimal tail size in cup games,William Kuszmaul,William Kuszmaul,0.9558
Towards an Analysis of Quadratic Probing,Optimal Bounds for Open Addressing Without Reordering,William Kuszmaul and Zoe Xi,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9557
Linear probing revisited: Tombstones mark the death of primary clustering,Towards an Analysis of Quadratic Probing,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul and Zoe Xi,0.9556
Iceberg hashing: Optimizing many hash-table criteria at once,Modern hashing made simple,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,0.9555
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Tao B Schardl and I-Ting Angelina Lee,Tim Kralj,0.9553
Hydra: A real-time spatial perception system for 3D scene graph construction and optimization,Hydra: A real-time spatial perception engine for 3d scene graph construction and optimization,Nathan Hughes and Yun Chang and Luca Carlone,Nathan Hughes and Yun Chang and Luca Carlone,0.9551
Understanding and increasing efficiency of frank-wolfe adversarial training,Understanding frank-wolfe adversarial training,Theodoros Tsiligkaridis and Jay Roberts,T Tsiligkaridis and J Roberts,0.9549
Randomized cup game algorithms against strong adversaries,The variable-processor cup game,Michael A Bender and William Kuszmaul,William Kuszmaul and Alek Westover,0.9548
Some new results on the maximum growth factor in Gaussian elimination,A new upper bound for the growth factor in Gaussian elimination with complete pivoting,Alan Edelman and John Urschel,Ankit Bisain and Alan Edelman and John Urschel,0.9542
Programming technologies for engineering quality multicore software,The Locality-First Strategy for Developing Efficient Multicore Algorithm,Tim Tim FS Kaler,Helen Jiang Xu,0.9541
A new upper bound for the growth factor in Gaussian elimination with complete pivoting,On a perturbation analysis of Higham squared maximum Gaussian elimination growth matrices,Ankit Bisain and Alan Edelman and John Urschel,Alan Edelman and John Urschel and Bowen Zhu,0.9539
IcebergHT: High performance PMEM hash tables through stability and low associativity,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,William Kuszmaul,0.9538
Towards an Analysis of Quadratic Probing,Optimal Non-Oblivious Open Addressing,William Kuszmaul and Zoe Xi,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9537
Certified polyhedral decompositions of collision-free configuration space,Certifying bimanual rrt motion plans in a second,Hongkai Dai and Alexandre Amice and Peter Werner and Annan Zhang and Russ Tedrake,Alexandre Amice and Peter Werner and Russ Tedrake,0.9533
Hypersparse network flow analysis of packets with graphblas,Focusing and calibration of large scale network sensors using graphblas anonymized hypersparse matrices,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,Jeremy Kepner and Michael Jones and Phil Dykstra and Chansup Byun and Timothy Davis and Hayden Jananthan and William Arcand and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Charles Yee and Peter Michaleas,0.9533
New results on families of pattern-replacement equivalences,New results on doubly adjacent pattern-replacement equivalences,William Kuszmaul and Ziling Zhou,William Kuszmaul,0.9533
Large scale enrichment and statistical cyber characterization of network traffic,What is Normal? A Big Data Observational Science Model of Anonymized Internet Traffic,Ivan Kawaminami and Arminda Estrada and Youssef Elsakkary and Hayden Jananthan and Aydin Buluç and Tim Davis and Daniel Grant and Michael Jones and Chad Meiners and Andrew Morris and Sandeep Pisharody and Jeremy Kepner,Jeremy Kepner and Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Peter Michaleas,0.953
Deployment of real-time network traffic analysis using GraphBLAS hypersparse matrices and D4M associative arrays,Hypersparse traffic matrix construction using GraphBLAS on a DPU,Michael Jones and Jeremy Kepner and Andrew Prout and Timothy Davis and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Sandeep Pisharody and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,William Bergeron and Michael Jones and Chase Barber and Kale DeYoung and George Amariucai and Kaleb Ernst and Nathan Fleming and Peter Michaleas and Sandeep Pisharody and Nathan Wells and Antonio Rosa and Eugene Vasserman and Jeremy Kepner,0.953
